date,usd_mxn_fix,cash_bid,cash_offer,3-month_bid,3-month_offer,dec-27_bid,dec-27_offer,dec-28_bid,dec-28_offer,dec-29_bid,dec-29_offer,3-month_price,month-1_price,month-2_price,month-3_price,month-4_price,month-5_price,month-6_price,interpolated_LME,interpolated_MXN,cash_offer_mxn
2021-03-15,20.7637,2184.5,2184.5,2210.5,2210.5,2247.5,2247.5,2255.0,2255.0,2267.0,2267.0,2218.0,2192.75,2202.25,2211.25,2216.75,2220.25,2223.5,False,True,45358.3027
2021-03-16,20.5753,2174.5,2174.5,2201.0,2201.0,2230.0,2230.0,2234.0,2234.0,2240.0,2240.0,2202.5,2187.0,2196.5,2202.5,2206.75,2210.25,2212.75,False,False,44740.9898
2021-03-17,20.6828,2202.5,2202.5,2232.5,2232.5,2254.5,2254.5,2258.5,2258.5,2262.5,2262.5,2227.5,2210.5,2221.5,2228.25,2233.5,2237.0,2239.5,False,False,45553.867
2021-03-18,20.4415,2192.0,2192.0,2226.5,2226.5,2250.0,2250.0,2250.0,2250.0,2252.0,2252.0,2216.0,2197.2,2208.45,2216.2,2222.5,2226.75,2230.5,False,False,44807.768
2021-03-19,20.4823,2188.0,2188.0,2223.0,2223.0,2255.0,2255.0,2259.0,2259.0,2261.0,2261.0,2265.5,2249.0,2259.25,2266.5,2272.25,2276.75,2280.5,False,False,44815.2724
2021-03-20,20.4823,2188.0,2188.0,2223.0,2223.0,2255.0,2255.0,2259.0,2259.0,2261.0,2261.0,2265.5,2249.0,2259.25,2266.5,2272.25,2276.75,2280.5,True,True,44815.2724
2021-03-21,20.4823,2188.0,2188.0,2223.0,2223.0,2255.0,2255.0,2259.0,2259.0,2261.0,2261.0,2265.5,2249.0,2259.25,2266.5,2272.25,2276.75,2280.5,True,True,44815.2724
2021-03-22,20.5788,2254.0,2254.0,2282.5,2282.5,2296.0,2296.0,2296.0,2296.0,2300.0,2300.0,2272.0,2256.5,2265.5,2272.5,2277.75,2281.0,2284.5,False,False,46384.6152
2021-03-23,20.6408,2205.0,2205.0,2234.0,2234.0,2246.5,2246.5,2244.5,2244.5,2246.0,2246.0,2219.5,2203.4,2211.9,2219.15,2225.0,2228.75,2232.5,False,False,45512.964
2021-03-24,20.7882,2220.5,2220.5,2249.0,2249.0,2261.0,2261.0,2260.0,2260.0,2262.5,2262.5,2258.0,2244.0,2251.5,2258.0,2263.2,2266.45,2268.7,False,False,46160.1981
2021-03-25,20.7662,2208.0,2208.0,2235.5,2235.5,2251.0,2251.0,2249.0,2249.0,2251.5,2251.5,2246.0,2231.25,2238.5,2245.5,2251.25,2255.0,2258.0,False,False,45851.7696
2021-03-26,20.5677,2260.5,2260.5,2285.0,2285.0,2293.5,2293.5,2292.0,2292.0,2294.5,2294.5,2298.0,2284.0,2291.0,2297.5,2303.0,2306.5,2309.0,False,False,46493.2858
2021-03-27,20.5677,2260.5,2260.5,2285.0,2285.0,2293.5,2293.5,2292.0,2292.0,2294.5,2294.5,2298.0,2284.0,2291.0,2297.5,2303.0,2306.5,2309.0,True,True,46493.2858
2021-03-28,20.5677,2260.5,2260.5,2285.0,2285.0,2293.5,2293.5,2292.0,2292.0,2294.5,2294.5,2298.0,2284.0,2291.0,2297.5,2303.0,2306.5,2309.0,True,True,46493.2858
2021-03-29,20.6047,2255.5,2255.5,2279.0,2279.0,2284.0,2284.0,2275.0,2275.0,2277.5,2277.5,2266.0,2250.0,2257.25,2264.25,2270.25,2273.75,2276.5,False,False,46473.9009
2021-03-30,20.6025,2220.5,2220.5,2246.0,2246.0,2259.5,2259.5,2252.5,2252.5,2255.0,2255.0,2231.0,2214.5,2221.25,2228.75,2235.25,2239.25,2242.75,False,False,45747.8512
2021-03-31,20.44,2212.5,2212.5,2235.0,2235.0,2256.0,2256.0,2252.0,2252.0,2254.5,2254.5,2212.0,2194.25,2200.25,2208.75,2215.75,2220.25,2224.75,False,False,45223.5
2021-04-01,20.44,2212.5,2212.5,2236.5,2236.5,2266.0,2266.0,2264.0,2264.0,2266.5,2266.5,2225.5,2209.25,2214.75,2221.75,2229.5,2234.25,2239.0,False,True,45223.5
2021-04-02,20.44,2212.5,2212.5,2236.5,2236.5,2266.0,2266.0,2264.0,2264.0,2266.5,2266.5,2225.5,2209.25,2214.75,2221.75,2229.5,2234.25,2239.0,True,True,45223.5
2021-04-03,20.44,2212.5,2212.5,2236.5,2236.5,2266.0,2266.0,2264.0,2264.0,2266.5,2266.5,2225.5,2209.25,2214.75,2221.75,2229.5,2234.25,2239.0,True,True,45223.5
2021-04-04,20.44,2212.5,2212.5,2236.5,2236.5,2266.0,2266.0,2264.0,2264.0,2266.5,2266.5,2225.5,2209.25,2214.75,2221.75,2229.5,2234.25,2239.0,True,True,45223.5
2021-04-05,20.2483,2212.5,2212.5,2236.5,2236.5,2266.0,2266.0,2264.0,2264.0,2266.5,2266.5,2225.5,2209.25,2214.75,2221.75,2229.5,2234.25,2239.0,True,False,44799.3638
2021-04-06,20.1612,2247.0,2247.0,2268.5,2268.5,2294.5,2294.5,2293.0,2293.0,2295.5,2295.5,2268.0,2255.25,2256.25,2263.5,2270.75,2276.0,2281.0,False,False,45302.2164
2021-04-07,20.1765,2239.5,2239.5,2258.5,2258.5,2293.0,2293.0,2293.0,2293.0,2295.5,2295.5,2260.0,2245.0,2248.5,2255.3,2262.5,2268.25,2273.25,False,False,45185.2718
2021-04-08,20.089,2267.5,2267.5,2280.0,2280.0,2314.5,2314.5,2317.5,2317.5,2320.0,2320.0,2282.5,2268.11,2270.11,2277.86,2285.25,2291.0,2296.0,False,False,45551.8075
2021-04-09,20.163,2250.0,2250.0,2267.5,2267.5,2308.0,2308.0,2309.0,2309.0,2311.5,2311.5,2264.0,2248.5,2250.85,2258.75,2266.35,2271.75,2277.0,False,False,45366.75
